2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000, -9.435356118127899E+07,  5.350355062360455E+07,  6.131466820352264E+06,
2458940.541666667, A.D. 2020-Apr-01 01:00:00.0000, -9.441564691100480E+07,  5.339287080638157E+07,  6.133529624073457E+06,
2458940.583333333, A.D. 2020-Apr-01 02:00:00.0000, -9.447760293470395E+07,  5.328211859839077E+07,  6.135583949575480E+06,
2458940.625000000, A.D. 2020-Apr-01 03:00:00.0000, -9.453942916774002E+07,  5.317129415343028E+07,  6.137629794084553E+06,
2458940.666666667, A.D. 2020-Apr-01 04:00:00.0000, -9.460112552566092E+07,  5.306039762539764E+07,  6.139667154838886E+06,
2458940.708333333, A.D. 2020-Apr-01 05:00:00.0000, -9.466269192419906E+07,  5.294942916828959E+07,  6.141696029088713E+06,
2458940.750000000, A.D. 2020-Apr-01 06:00:00.0000, -9.472412827927144E+07,  5.283838893620183E+07,  6.143716414096266E+06,
2458940.791666667, A.D. 2020-Apr-01 07:00:00.0000, -9.478543450697979E+07,  5.272727708332882E+07,  6.145728307135802E+06,
2458940.833333333, A.D. 2020-Apr-01 08:00:00.0000, -9.484661052361065E+07,  5.261609376396352E+07,  6.147731705493581E+06,
2458940.875000000, A.D. 2020-Apr-01 09:00:00.0000, -9.490765624563554E+07,  5.250483913249719E+07,  6.149726606467895E+06,
2458940.916666667, A.D. 2020-Apr-01 10:00:00.0000, -9.496857158971103E+07,  5.239351334341912E+07,  6.151713007369064E+06,
2458940.958333333, A.D. 2020-Apr-01 11:00:00.0000, -9.502935647267887E+07,  5.228211655131646E+07,  6.153690905519433E+06,
2458941.000000000, A.D. 2020-Apr-01 12:00:00.0000, -9.509001081156611E+07,  5.217064891087392E+07,  6.155660298253372E+06,
2458941.041666667, A.D. 2020-Apr-01 13:00:00.0000, -9.515053452358525E+07,  5.205911057687362E+07,  6.157621182917289E+06,
2458941.083333333, A.D. 2020-Apr-01 14:00:00.0000, -9.521092752613425E+07,  5.194750170419478E+07,  6.159573556869652E+06,
2458941.125000000, A.D. 2020-Apr-01 15:00:00.0000, -9.527118973679678E+07,  5.183582244781356E+07,  6.161517417480938E+06,
2458941.166666667, A.D. 2020-Apr-01 16:00:00.0000, -9.533132107334222E+07,  5.172407296280277E+07,  6.163452762133695E+06,
2458941.208333333, A.D. 2020-Apr-01 17:00:00.0000, -9.539132145372586E+07,  5.161225340433168E+07,  6.165379588222511E+06,
2458941.250000000, A.D. 2020-Apr-01 18:00:00.0000, -9.545119079608895E+07,  5.150036392766581E+07,  6.167297893154025E+06,
2458941.291666667, A.D. 2020-Apr-01 19:00:00.0000, -9.551092901875885E+07,  5.138840468816663E+07,  6.169207674346942E+06,
2458941.333333333, A.D. 2020-Apr-01 20:00:00.0000, -9.557053604024914E+07,  5.127637584129135E+07,  6.171108929232016E+06,
2458941.375000000, A.D. 2020-Apr-01 21:00:00.0000, -9.563001177925971E+07,  5.116427754259277E+07,  6.173001655252073E+06,
2458941.416666667, A.D. 2020-Apr-01 22:00:00.0000, -9.568935615467693E+07,  5.105210994771894E+07,  6.174885849862002E+06,
2458941.458333333, A.D. 2020-Apr-01 23:00:00.0000, -9.574856908557364E+07,  5.093987321241298E+07,  6.176761510528754E+06,
2458941.500000000, A.D. 2020-Apr-02 00:00:00.0000, -9.580765049120945E+07,  5.082756749251289E+07,  6.178628634731364E+06,
2458941.541666667, A.D. 2020-Apr-02 01:00:00.0000, -9.586660029103063E+07,  5.071519294395121E+07,  6.180487219960939E+06,
2458941.583333333, A.D. 2020-Apr-02 02:00:00.0000, -9.592541840467045E+07,  5.060274972275490E+07,  6.182337263720669E+06,
2458941.625000000, A.D. 2020-Apr-02 03:00:00.0000, -9.598410475194910E+07,  5.049023798504502E+07,  6.184178763525818E+06,
2458941.666666667, A.D. 2020-Apr-02 04:00:00.0000, -9.604265925287393E+07,  5.037765788703658E+07,  6.186011716903750E+06,
2458941.708333333, A.D. 2020-Apr-02 05:00:00.0000, -9.610108182763945E+07,  5.026500958503825E+07,  6.187836121393904E+06,
2458941.750000000, A.D. 2020-Apr-02 06:00:00.0000, -9.615937239662755E+07,  5.015229323545218E+07,  6.189651974547818E+06,
2458941.791666667, A.D. 2020-Apr-02 07:00:00.0000, -9.621753088040754E+07,  5.003950899477366E+07,  6.191459273929134E+06,
2458941.833333333, A.D. 2020-Apr-02 08:00:00.0000, -9.627555719973630E+07,  4.992665701959104E+07,  6.193258017113570E+06,
2458941.875000000, A.D. 2020-Apr-02 09:00:00.0000, -9.633345127555832E+07,  4.981373746658538E+07,  6.195048201688968E+06,
2458941.916666667, A.D. 2020-Apr-02 10:00:00.0000, -9.639121302900594E+07,  4.970075049253027E+07,  6.196829825255271E+06,
2458941.958333333, A.D. 2020-Apr-02 11:00:00.0000, -9.644884238139929E+07,  4.958769625429158E+07,  6.198602885424525E+06,
2458942.000000000, A.D. 2020-Apr-02 12:00:00.0000, -9.650633925424655E+07,  4.947457490882725E+07,  6.200367379820883E+06,
2458942.041666667, A.D. 2020-Apr-02 13:00:00.0000, -9.656370356924395E+07,  4.936138661318704E+07,  6.202123306080617E+06,
2458942.083333333, A.D. 2020-Apr-02 14:00:00.0000, -9.662093524827595E+07,  4.924813152451226E+07,  6.203870661852125E+06,
2458942.125000000, A.D. 2020-Apr-02 15:00:00.0000, -9.667803421341531E+07,  4.913480980003564E+07,  6.205609444795910E+06,
2458942.166666667, A.D. 2020-Apr-02 16:00:00.0000, -9.673500038692319E+07,  4.902142159708098E+07,  6.207339652584620E+06,
