2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000,  6.328646641500651E+08, -1.358172804527507E+09, -1.578520137930810E+06,
2458940.541666667, A.D. 2020-Apr-01 01:00:00.0000,  6.328942590312940E+08, -1.358158216452679E+09, -1.579951596381724E+06,
2458940.583333333, A.D. 2020-Apr-01 02:00:00.0000,  6.329238536100463E+08, -1.358143627617155E+09, -1.581383089917183E+06,
2458940.625000000, A.D. 2020-Apr-01 03:00:00.0000,  6.329534478845247E+08, -1.358129038020784E+09, -1.582814618455112E+06,
2458940.666666667, A.D. 2020-Apr-01 04:00:00.0000,  6.329830418529394E+08, -1.358114447663544E+09, -1.584246181843042E+06,
2458940.708333333, A.D. 2020-Apr-01 05:00:00.0000,  6.330126355135379E+08, -1.358099856545555E+09, -1.585677779858112E+06,
2458940.750000000, A.D. 2020-Apr-01 06:00:00.0000,  6.330422288646384E+08, -1.358085264667075E+09, -1.587109412210524E+06,
2458940.791666667, A.D. 2020-Apr-01 07:00:00.0000,  6.330718219046636E+08, -1.358070672028490E+09, -1.588541078551829E+06,
2458940.833333333, A.D. 2020-Apr-01 08:00:00.0000,  6.331014146321720E+08, -1.358056078630299E+09, -1.589972778487086E+06,
2458940.875000000, A.D. 2020-Apr-01 09:00:00.0000,  6.331310070458845E+08, -1.358041484473089E+09, -1.591404511591315E+06,
2458940.916666667, A.D. 2020-Apr-01 10:00:00.0000,  6.331605991447036E+08, -1.358026889557501E+09, -1.592836277428865E+06,
2458940.958333333, A.D. 2020-Apr-01 11:00:00.0000,  6.331901909277234E+08, -1.358012293884196E+09, -1.594268075572908E+06,
2458941.000000000, A.D. 2020-Apr-01 12:00:00.0000,  6.332197823942274E+08, -1.357997697453815E+09, -1.595699905625641E+06,
2458941.041666667, A.D. 2020-Apr-01 13:00:00.0000,  6.332493735436774E+08, -1.357983100266941E+09, -1.597131767238140E+06,
2458941.083333333, A.D. 2020-Apr-01 14:00:00.0000,  6.332789643756905E+08, -1.357968502324064E+09, -1.598563660124123E+06,
2458941.125000000, A.D. 2020-Apr-01 15:00:00.0000,  6.333085548900076E+08, -1.357953903625558E+09, -1.599995584072471E+06,
2458941.166666667, A.D. 2020-Apr-01 16:00:00.0000,  6.333381450864576E+08, -1.357939304171653E+09, -1.601427538953185E+06,
2458941.208333333, A.D. 2020-Apr-01 17:00:00.0000,  6.333677349649166E+08, -1.357924703962426E+09, -1.602859524719119E+06,
2458941.250000000, A.D. 2020-Apr-01 18:00:00.0000,  6.333973245252693E+08, -1.357910102997800E+09, -1.604291541405082E+06,
2458941.291666667, A.D. 2020-Apr-01 19:00:00.0000,  6.334269137673730E+08, -1.357895501277536E+09, -1.605723589122951E+06,
2458941.333333333, A.D. 2020-Apr-01 20:00:00.0000,  6.334565026910264E+08, -1.357880898801246E+09, -1.607155668056190E+06,
2458941.375000000, A.D. 2020-Apr-01 21:00:00.0000,  6.334860912959440E+08, -1.357866295568398E+09, -1.608587778452635E+06,
2458941.416666667, A.D. 2020-Apr-01 22:00:00.0000,  6.335156795817291E+08, -1.357851691578322E+09, -1.610019920616865E+06,
2458941.458333333, A.D. 2020-Apr-01 23:00:00.0000,  6.335452675478408E+08, -1.357837086830243E+09, -1.611452094894707E+06,
2458941.500000000, A.D. 2020-Apr-02 00:00:00.0000,  6.335748551935359E+08, -1.357822481323319E+09, -1.612884301640511E+06,
2458941.541666667, A.D. 2020-Apr-02 01:00:00.0000,  6.336044425178643E+08, -1.357807875056677E+09, -1.614316541202068E+06,
2458941.583333333, A.D. 2020-Apr-02 02:00:00.0000,  6.336340295196919E+08, -1.357793268029434E+09, -1.615748813910782E+06,
2458941.625000000, A.D. 2020-Apr-02 03:00:00.0000,  6.336636161976957E+08, -1.357778660240736E+09, -1.617181120061874E+06,
2458941.666666667, A.D. 2020-Apr-02 04:00:00.0000,  6.336932025503877E+08, -1.357764051689785E+09, -1.618613459903657E+06,
2458941.708333333, A.D. 2020-Apr-02 05:00:00.0000,  6.337227885761160E+08, -1.357749442375891E+09, -1.620045833610475E+06,
2458941.750000000, A.D. 2020-Apr-02 06:00:00.0000,  6.337523742730968E+08, -1.357734832298501E+09, -1.621478241271973E+06,
2458941.791666667, A.D. 2020-Apr-02 07:00:00.0000,  6.337819596394565E+08, -1.357720221457208E+09, -1.622910682891369E+06,
2458941.833333333, A.D. 2020-Apr-02 08:00:00.0000,  6.338115446732711E+08, -1.357705609851761E+09, -1.624343158389628E+06,
2458941.875000000, A.D. 2020-Apr-02 09:00:00.0000,  6.338411293726004E+08, -1.357690997482054E+09, -1.625775667611539E+06,
2458941.916666667, A.D. 2020-Apr-02 10:00:00.0000,  6.338707137355139E+08, -1.357676384348121E+09, -1.627208210333645E+06,
2458941.958333333, A.D. 2020-Apr-02 11:00:00.0000,  6.339002977601104E+08, -1.357661770450129E+09, -1.628640786270976E+06,
2458942.000000000, A.D. 2020-Apr-02 12:00:00.0000,  6.339298814445318E+08, -1.357647155788363E+09, -1.630073395084321E+06,
2458942.041666667, A.D. 2020-Apr-02 13:00:00.0000,  6.339594647869748E+08, -1.357632540363221E+09, -1.631506036386251E+06,
2458942.083333333, A.D. 2020-Apr-02 14:00:00.0000,  6.339890477856997E+08, -1.357617924175202E+09, -1.632938709745824E+06,
2458942.125000000, A.D. 2020-Apr-02 15:00:00.0000,  6.340186304390383E+08, -1.357603307224898E+09, -1.634371414695740E+06,
2458942.166666667, A.D. 2020-Apr-02 16:00:00.0000,  6.340482127454022E+08, -1.357588689512982E+09, -1.635804150736213E+06,
