day,x,y,z
164,-5.389145498090454E12,-8.231400183311428E11,1.758667470741539E7
165,-5.4206494717805205E12,-8.279829008720946E11,1.7643391990998212E7
166,-5.452153413237465E12,-8.328257784879501E11,1.770010920294682E7
167,-5.483657322830593E12,-8.376686512349738E11,1.7756826344123423E7
168,-5.515161200922899E12,-8.425115191684714E11,1.7813543415374935E7
169,-5.546665047871213E12,-8.473543823428119E11,1.7870260417533323E7
170,-5.578168864026332E12,-8.521972408114479E11,1.7926977351415966E7
171,-5.609672649733162E12,-8.570400946269366E11,1.798369421782598E7
172,-5.641176405330846E12,-8.618829438409597E11,1.8040411017552543E7
173,-5.672680131152891E12,-8.667257885043424E11,1.8097127751371235E7
174,-5.704183827527295E12,-8.715686286670725E11,1.815384442004432E7
175,-5.735687494776666E12,-8.764114643783186E11,1.821056102432107E7
176,-5.767191133218339E12,-8.812542956864479E11,1.8267277564938046E7
177,-5.79869474316449E12,-8.860971226390436E11,1.8323994042619377E7
178,-5.83019832492225E12,-8.909399452829216E11,1.838071045807705E7
179,-5.86170187879381E12,-8.957827636641471E11,1.843742681201118E7
180,-5.893205405076526E12,-9.006255778280504E11,1.8494143105110254E7
181,-5.924708904063027E12,-9.054683878192426E11,1.855085933805141E7
182,-5.956212376041309E12,-9.103111936816304E11,1.860757551150066E7
183,-5.987715821294832E12,-9.151539954584314E11,1.866429162611316E7
184,-6.019219240102619E12,-9.19996793192188E11,1.8721007682533428E7
185,-6.050722632739347E12,-9.248395869247816E11,1.8777723681395568E7
186,-6.082225999475433E12,-9.296823766974463E11,1.8834439623323504E7
187,-6.113729340577126E12,-9.345251625507816E11,1.8891155508931197E7
188,-6.145232656306591E12,-9.393679445247662E11,1.894787133882285E7
189,-6.17673594692199E12,-9.442107226587701E11,1.9004587113593113E7
190,-6.208239212677567E12,-9.490534969915669E11,1.9061302833827294E7
191,-6.239742453823724E12,-9.538962675613458E11,1.9118018500101548E7
192,-6.271245670607097E12,-9.587390344057236E11,1.917473411298306E7
193,-6.302748863270635E12,-9.635817975617556E11,1.9231449673030235E7
194,-6.33425203205367E12,-9.68424557065947E11,1.9288165180792887E7
195,-6.365755177191989E12,-9.732673129542638E11,1.93448806368124E7
196,-6.397258298917905E12,-9.781100652621432E11,1.940159604162191E7
197,-6.428761397460324E12,-9.829528140245038E11,1.945831139574646E7
198,-6.460264473044811E12,-9.877955592757561E11,1.9515026699703168E7
199,-6.491767525893653E12,-9.92638301049812E11,1.9571741954001397E7
200,-6.523270556225928E12,-9.974810393800944E11,1.962845715914288E7
201,-6.55477356425756E12,-1.0023237742995464E12,1.96851723156219E7
202,-6.586276550201382E12,-1.0071665058406409E12,1.9741887423925415E7
203,-6.617779514267196E12,-1.0120092340353892E12,1.9798602484533206E7
204,-6.649282456661828E12,-1.0168519589153497E12,1.9855317497918017E7
205,-6.680785377589186E12,-1.0216946805116365E12,1.9912032464545693E7
206,-6.712288277250311E12,-1.0265373988549276E12,1.9968747384875305E7
207,-6.743791155843436E12,-1.031380113975473E12,2.002546225935928E7
208,-6.775294013564032E12,-1.0362228259031029E12,2.0082177088443533E7
209,-6.806796850604866E12,-1.0410655346672351E12,2.013889187256757E7
210,-6.838299667156045E12,-1.0459082402968827E12,2.019560661216464E7
211,-6.869802463405065E12,-1.0507509428206614E12,2.0252321307661813E7
212,-6.901305239536863E12,-1.055593642266797E12,2.030903595948013E7
213,-6.932807995733858E12,-1.0604363386631321E12,2.0365750568034694E7
214,-6.964310732176E12,-1.0652790320371332E12,2.042246513373478E7
215,-6.995813449040813E12,-1.0701217224158973E12,2.0479179656983953E7
216,-7.027316146503441E12,-1.0749644098261589E12,2.0535894138180166E7
217,-7.058818824736686E12,-1.0798070942942959E12,2.0592608577715863E7
218,-7.09032148391105E12,-1.0846497758463362E12,2.0649322975978084E7
219,-7.12182412419478E12,-1.0894924545079639E12,2.070603733334857E7
220,-7.153326745753905E12,-1.094335130304525E12,2.076275165020385E7
